bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
69.692,69.692,69.692,69.692,2023-07-18,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-07-19,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-07-20,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-07-21,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-07-22,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-07-23,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-07-24,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-07-25,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-07-26,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-07-27,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-07-28,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-07-29,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-07-30,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-07-31,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-08-01,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-08-02,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-08-03,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-08-04,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-08-05,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-08-06,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-08-07,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-08-08,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-08-09,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-08-10,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-08-11,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-08-12,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-08-13,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-08-14,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-08-15,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-08-16,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-08-17,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-08-18,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-08-19,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-08-20,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-08-21,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-08-22,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-08-23,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-08-24,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-08-25,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-08-26,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-08-27,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-08-28,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-08-29,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-08-30,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-08-31,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-09-01,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-09-02,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-09-03,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-09-04,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-09-05,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-09-06,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-09-07,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-09-08,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-09-09,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-09-10,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-09-11,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-09-12,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-09-13,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-09-14,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-09-15,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-09-16,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-09-17,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-09-18,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-09-19,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-09-20,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-09-21,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-09-22,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-09-23,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-09-24,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-09-25,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-09-26,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-09-27,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-09-28,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-09-29,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-09-30,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-10-01,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-10-02,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-10-03,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-10-04,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-10-05,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-10-06,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-10-07,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-10-08,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-10-09,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-10-10,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-10-11,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-10-12,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-10-13,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-10-14,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-10-15,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-10-16,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-10-17,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-10-18,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-10-19,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-10-20,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-10-21,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-10-22,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-10-23,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-10-24,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-10-25,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-10-26,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-10-27,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-10-28,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-10-29,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-10-30,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-10-31,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-11-01,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-11-02,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-11-03,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-11-04,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-11-05,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-11-06,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-11-07,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-11-08,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-11-09,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-11-10,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-11-11,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-11-12,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-11-13,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-11-14,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-11-15,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-11-16,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-11-17,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-11-18,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-11-19,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-11-20,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-11-21,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-11-22,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-11-23,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-11-24,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-11-25,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-11-26,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-11-27,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-11-28,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-11-29,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-11-30,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-12-01,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-12-02,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-12-03,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-12-04,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-12-05,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-12-06,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-12-07,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-12-08,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-12-09,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-12-10,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-12-11,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-12-12,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-12-13,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-12-14,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-12-15,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-12-16,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-12-17,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-12-18,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-12-19,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-12-20,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-12-21,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-12-22,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-12-23,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-12-24,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-12-25,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-12-26,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-12-27,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-12-28,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-12-29,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2023-12-30,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-01-01,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-01-02,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-01-03,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-01-04,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-01-05,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-01-06,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-01-07,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-01-08,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-01-09,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-01-10,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-01-11,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-01-12,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-01-13,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-01-14,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-01-15,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-01-16,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-01-17,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-01-18,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-01-19,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-01-20,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-01-21,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-01-22,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-01-23,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-01-24,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-01-25,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-01-26,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-01-27,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-01-28,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-01-29,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-01-30,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-01-31,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-02-01,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-02-02,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-02-03,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-02-04,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-02-05,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-02-06,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-02-07,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-02-08,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-02-09,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-02-10,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-02-11,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-02-12,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-02-13,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-02-14,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-02-15,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-02-16,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-02-17,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-02-18,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-02-19,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
69.692,69.692,69.692,69.692,2024-02-20,70.438,70.438,70.438,70.438,70.065,70.065,70.065,70.065,0.7460000000000093
